listing_id,status
1142,missing_gbauj
1143,missing_population
1144,missing_gbauj
1145,usable
1146,usable
1147,usable
1148,missing_population
1149,usable
1150,usable
1151,usable
1152,missing_gbauj
1153,missing_gbauj
1154,usable
1155,usable
1156,usable
1157,usable
1158,usable
1159,missing_solar_class
1160,missing_gbauj
1161,usable
1162,missing_ganzwhg
1163,missing_gbauj
1164,missing_solar_class
1165,missing_area_sqm
1166,missing_address
1167,missing_gbauj
1168,missing_gbauj
1169,usable
1170,usable
1171,usable
1172,missing_ganzwhg
1173,missing_gbauj
1174,missing_gbauj
1175,usable
1176,missing_gbauj
1177,usable
1178,missing_gbauj
1179,missing_ganzwhg
1180,missing_gbauj
1181,missing_gbauj
1182,missing_population
1183,usable
1184,usable
1185,usable
1186,usable
1187,missing_gbauj
1188,missing_gbauj
1189,missing_gbauj
1190,usable
1191,missing_gbauj
1192,usable
1193,missing_ganzwhg
1194,missing_gbauj
1195,missing_gbauj
1196,usable
1197,usable
1198,missing_gbauj
1199,missing_gbauj
1200,missing_gbauj
1201,usable
1202,missing_gbauj
1203,missing_gbauj
1204,missing_gbauj
1205,missing_gbauj
1206,usable
1207,missing_gbauj
1208,usable
1209,missing_address
1210,missing_gbauj
1211,missing_gbauj
1212,missing_solar_class
1213,usable
1214,missing_gbauj
1215,missing_population
1216,usable
1217,missing_gbauj
1218,missing_gbauj
1219,usable
1220,missing_gbauj
1221,usable
1222,missing_gbauj
1223,usable
1224,usable
1225,missing_population
1226,missing_population
1227,usable
1228,usable
1229,missing_address
1230,missing_gbauj
1231,missing_population
1232,usable
1233,missing_gbauj
1234,missing_population
1235,usable
1236,usable
1237,usable
1238,missing_population
1239,missing_gbauj
1240,usable
1241,usable
1242,usable
1243,missing_population
1244,usable
1245,missing_gbauj
1246,missing_gbauj
1247,usable
1248,usable
1249,missing_gbauj
1250,usable
1251,usable
1252,usable
1253,missing_gbauj
1254,missing_gbauj
1255,missing_ganzwhg
1256,usable
1257,missing_solar_class
1258,missing_gbauj
1259,usable
1260,missing_ganzwhg
1261,usable
1262,missing_gbauj
1263,missing_gbauj
1264,usable
1265,usable
1266,missing_gbauj
1267,missing_gbauj
1268,missing_gbauj
1269,missing_gbauj
1270,usable
1271,missing_population
1272,missing_solar_class
1273,missing_gbauj
1274,missing_population
1275,usable
1276,missing_gbauj
1277,usable
1278,usable
1279,usable
1280,usable
1281,missing_gbauj
1282,usable
1283,usable
1284,missing_gbauj
1285,missing_gbauj
1286,usable
1287,usable
1288,usable
1289,missing_area_sqm
1290,usable
1291,missing_population
1292,missing_gbauj
1293,usable
1294,usable
1295,missing_gbauj
1296,missing_population
1297,usable
1298,missing_gbauj
1299,usable
1300,missing_population
1301,usable
1302,missing_gbauj
1303,usable
1304,usable
1305,usable
1306,missing_gbauj
1307,missing_gbauj
1308,usable
1309,missing_gbauj
1310,usable
1311,usable
1312,usable
1313,missing_population
1314,missing_ganzwhg
1315,usable
1316,missing_gbauj
1317,usable
1318,usable
1319,missing_gbauj
1320,usable
1321,missing_gbauj
1322,usable
1323,missing_gbauj
1324,missing_population
1325,usable
1326,missing_gbauj
1327,missing_solar_class
1328,usable
1329,missing_population
1330,usable
1331,usable
1332,usable
1333,usable
1334,missing_ganzwhg
1335,missing_gbauj
1336,missing_gbauj
1337,missing_address
1338,missing_gbauj
1339,usable
1340,usable
1341,usable
1342,missing_area_sqm
1343,missing_population
1344,missing_area_sqm
1345,missing_ganzwhg
1346,usable
1347,usable
1348,missing_gbauj
1349,missing_gbauj
1350,missing_gbauj
1351,missing_ganzwhg
1352,usable
1353,missing_gbauj
1354,usable
1355,missing_gbauj
1356,missing_population
1357,usable
1358,missing_gbauj
1359,missing_population
1360,missing_gbauj
1361,missing_gbauj
1362,missing_population
1363,usable
1364,missing_solar_class
1365,missing_address
1366,missing_gbauj
1367,missing_gbauj
1368,usable
1369,usable
1370,missing_gbauj
1371,missing_population
1372,missing_solar_class
1373,usable
1374,missing_ganzwhg
1375,missing_solar_class
1376,missing_gbauj
1377,usable
1378,usable
1379,usable
1380,missing_population
1381,usable
1382,missing_population
1383,usable
1384,usable
1385,missing_ganzwhg
1386,usable
1387,missing_ganzwhg
1388,missing_area_sqm
1389,missing_gbauj
1390,missing_gbauj
1391,missing_population
1392,usable
1393,missing_gbauj
1394,missing_gbauj
1395,usable
1396,missing_gbauj
1397,missing_gbauj
1398,missing_ganzwhg
1399,usable
1400,missing_population
1401,missing_population
1402,missing_gbauj
1403,usable
1404,missing_address
1405,usable
1406,usable
1407,missing_gbauj
1408,missing_ganzwhg
1409,missing_solar_class
1410,missing_gbauj
1411,usable
1412,missing_gbauj
1413,missing_gbauj
1414,usable
1415,usable
1416,usable
1417,missing_ganzwhg
1418,usable
1419,usable
1420,usable
1421,usable
1422,usable
1423,missing_population
1424,missing_gbauj
1425,missing_gbauj
1426,missing_gbauj
1427,missing_ganzwhg
1428,usable
1429,missing_gbauj
1430,missing_solar_class
1431,usable
1432,usable
1433,missing_gbauj
1434,usable
1435,usable
1436,missing_gbauj
1437,usable
1438,missing_gbauj
1439,missing_gbauj
1440,usable
1441,usable
1442,missing_gbauj
1443,usable
1444,missing_solar_class
1445,usable
1446,missing_ganzwhg
1447,usable
1448,usable
1449,usable
1450,missing_population
1451,usable
1452,usable
1453,missing_population
1454,missing_gbauj
1455,usable
1456,missing_population
1457,usable
1458,missing_gbauj
1459,missing_ganzwhg
1460,usable
1461,usable
1462,missing_gbauj
1463,missing_gbauj
1464,missing_address
1465,missing_population
1466,missing_gbauj
1467,missing_gbauj
1468,usable
1469,usable
1470,usable
1471,usable
1472,missing_population
1473,usable
1474,missing_ganzwhg
1475,missing_gbauj
1476,usable
1477,usable
1478,usable
1479,usable
1480,missing_gbauj
1481,missing_gbauj
1482,usable
1483,missing_gbauj
1484,missing_population
1485,usable
1486,usable
1487,usable
1488,usable
1489,missing_gbauj
1490,missing_gbauj
1491,usable
1492,missing_gbauj
1493,usable
1494,missing_gbauj
1495,usable
1496,missing_ganzwhg
1497,usable
1498,missing_gbauj
1499,missing_gbauj
1500,missing_gbauj
1501,missing_gbauj
1502,usable
1503,missing_gbauj
1504,missing_population
1505,missing_gbauj
1506,missing_population
1507,usable
1508,usable
1509,usable
1510,usable
1511,missing_gbauj
1512,usable
1513,usable
1514,usable
1515,missing_gbauj
1516,missing_solar_class
1517,missing_gbauj
1518,missing_gbauj
1519,missing_gbauj
1520,usable
1521,missing_gbauj
1522,missing_gbauj
1523,usable
1524,usable
1525,usable
1526,missing_gbauj
1527,missing_gbauj
1528,missing_ganzwhg
1529,missing_solar_class
1530,missing_gbauj
1531,missing_gbauj
1532,usable
1533,missing_gbauj
1534,missing_area_sqm
1535,usable
1536,usable
1537,missing_ganzwhg
1538,missing_gbauj
1539,missing_population
1540,usable
1541,missing_gbauj
1542,usable
1543,missing_gbauj
1544,usable
1545,usable
1546,usable
1547,usable
1548,missing_ganzwhg
1549,missing_gbauj
1550,missing_ganzwhg
1551,missing_solar_class
1552,missing_address
1553,usable
1554,usable
1555,usable
1556,usable
1557,missing_gbauj
1558,missing_gbauj
1559,missing_gbauj
1560,missing_gbauj
1561,usable
1562,usable
1563,usable
1564,usable
1565,missing_solar_class
1566,usable
1567,missing_solar_class
1568,usable
1569,missing_gbauj
1570,usable
1571,usable
1572,missing_address
1573,missing_population
1574,missing_gbauj
1575,missing_gbauj
1576,missing_gbauj
1577,missing_gbauj
1578,missing_gbauj
1579,missing_gbauj
1580,missing_gbauj
1581,missing_gbauj
1582,missing_gbauj
1583,missing_gbauj
1584,missing_population
1585,usable
1586,missing_gbauj
1587,usable
1588,usable
1589,usable
1590,usable
1591,missing_population
1592,missing_gbauj
1593,missing_gbauj
1594,missing_gbauj
1595,usable
1596,missing_gbauj
1597,missing_gbauj
1598,missing_population
1599,usable
1600,missing_population
1601,usable
1602,missing_ganzwhg
1603,usable
1604,missing_ganzwhg
1605,missing_gbauj
1606,missing_ganzwhg
1607,missing_gbauj
1608,usable
1609,missing_gbauj
1610,usable
1611,missing_gbauj
1612,usable
1613,missing_solar_class
1614,usable
1615,missing_ganzwhg
1616,missing_gbauj
1617,usable
1618,usable
1619,usable
1620,missing_gbauj
1621,usable
1622,usable
1623,missing_solar_class
1624,missing_solar_class
1625,usable
1626,missing_ganzwhg
1627,missing_solar_class
1628,usable
1629,usable
1630,missing_solar_class
1631,missing_ganzwhg
1632,usable
1633,usable
1634,missing_gbauj
1635,missing_population
1636,missing_area_sqm
1637,usable
1638,usable
1639,missing_gbauj
1640,usable
1641,missing_gbauj
1642,missing_ganzwhg
1643,usable
1644,usable
1645,missing_solar_class
1646,usable
1647,usable
1648,missing_ganzwhg
1649,missing_ganzwhg
1650,usable
1651,usable
1652,missing_population
1653,missing_gbauj
1654,missing_gbauj
1655,usable
1656,missing_area_sqm
1657,missing_gbauj
1658,missing_gbauj
1659,usable
1660,usable
1661,usable
1662,missing_solar_class
1663,missing_gbauj
1664,missing_ganzwhg
1665,usable
1666,missing_gbauj
1667,missing_solar_class
1668,usable
1669,usable
1670,missing_gbauj
1671,missing_gbauj
1672,missing_garea
1673,missing_gbauj
1674,usable
1675,missing_population
1676,usable
1677,missing_gbauj
1678,missing_gbauj
1679,usable
1680,usable
1681,missing_ganzwhg
1682,missing_gbauj
1683,missing_gbauj
1684,usable
1685,missing_gbauj
1686,missing_ganzwhg
1687,missing_gbauj
1688,usable
1689,missing_gbauj
1690,usable
1691,missing_gbauj
1692,usable
1693,usable
1694,missing_gbauj
1695,missing_ganzwhg
1696,missing_gbauj
1697,usable
1698,missing_gbauj
1699,usable
1700,usable
1701,usable
1702,usable
1703,missing_gbauj
1704,missing_solar_class
1705,missing_gbauj
1706,missing_gbauj
1707,usable
1708,missing_area_sqm
1709,usable
1710,usable
1711,missing_solar_class
1712,usable
1713,missing_gbauj
1714,missing_gbauj
1715,missing_rooms
1716,usable
1717,missing_gbauj
1718,usable
1719,usable
1720,usable
1721,usable
1722,missing_solar_class
1723,missing_gbauj
1724,missing_gbauj
1725,missing_gbauj
1726,missing_gbauj
1727,missing_solar_class
1728,missing_ganzwhg
1729,missing_solar_class
1730,usable
1731,usable
1732,usable
1733,usable
1734,missing_population
1735,usable
1736,usable
1737,missing_gbauj
1738,usable
1739,missing_solar_class
1740,missing_ganzwhg
1741,missing_gbauj
1742,usable
1743,missing_gbauj
1744,missing_solar_class
1745,missing_address
1746,missing_gbauj
1747,missing_gbauj
1748,usable
1749,missing_solar_class
1750,usable
1751,usable
1752,missing_gbauj
1753,missing_gbauj
1754,usable
1755,missing_gbauj
1756,usable
1757,usable
