area_sqm,rooms,price_cold,population,oev_score,solar_class,elevation_m,lv95_east,lv95_north,gbauj,ganzwhg,garea
50,2,1820,91,29759.0,2.0,441.7,2697098.0,1261794.75,1937,9,191.0
71,3,1940,129,2636.0,4.0,460.0,2686267.75,1257655.875,1965,12,220.0
97,3,1590,86,6051.0,3.0,606.3,2747422.0,1258575.625,2011,20,553.0
45,2,1005,145,1170.0,4.0,674.5,2642999.0,1130653.375,2011,25,396.0
73,3,1330,50,5824.0,4.0,411.5,2689746.5,1284054.75,1890,3,194.0
86,4,1330,180,13849.0,3.0,666.8,2747362.5,1256234.375,1959,14,380.0
65,2,1395,36,781.0,4.0,431.3,2628889.25,1239349.75,2014,11,321.0
78,3,1250,198,6847.0,4.0,620.4,2578247.0,1182807.875,2007,14,288.0
70,3,1400,208,1426.0,4.0,517.4,2550971.0,1168869.125,1700,1,43.0
62,2,2100,25,1378.0,3.0,413.4,2680681.25,1262392.375,2025,14,480.0
50,2,1000,95,4484.0,4.0,444.5,2594598.25,1225857.875,1962,29,524.0
27,2,1150,157,10320.0,1.0,667.8,2746550.5,1254429.0,1918,14,158.0
72,3,1200,17,999.0,2.0,392.0,2627802.0,1255898.375,1956,4,155.0
65,3,1695,95,1826.0,3.0,483.4,2697160.0,1244192.75,1959,15,385.0
58,3,1110,3,204.0,1.0,412.2,2631231.75,1237447.375,1920,1,166.0
85,3,2030,108,5275.0,4.0,441.2,2689183.0,1253557.0,2002,12,446.0
82,2,1750,3,555.0,2.0,440.2,2525382.25,1151285.125,1986,2,89.0
45,1,1660,58,12057.0,3.0,410.3,2687608.25,1235123.25,1965,42,1532.0
35,1,1190,70,29075.0,4.0,672.9,2746013.5,1254236.0,1982,5,1154.0
74,2,800,50,19.0,5.0,1502.4,2602988.25,1128855.75,1978,18,390.0
55,2,1190,21,1025.0,2.0,565.7,2720154.75,1263479.625,1987,2,151.0
30,1,775,254,4102.0,4.0,587.6,2537623.0,1154610.625,1970,24,413.0
130,5,2580,180,9525.0,4.0,454.3,2683779.75,1251125.125,1906,20,423.0
96,3,1640,31,87.0,2.0,471.4,2722673.5,1280498.0,1974,1,120.0
30,1,1160,143,18156.0,3.0,554.5,2596530.75,1199617.5,1963,16,259.0
41,2,1380,88,5667.0,2.0,404.8,2555640.5,1145470.25,1955,15,332.0
58,2,2930,214,59440.0,2.0,421.6,2681646.5,1246519.5,2024,34,453.0
121,4,2170,143,3355.0,4.0,556.6,2604431.5,1200978.875,2016,23,374.0
73,3,1200,238,14154.0,3.0,251.4,2611693.0,1270476.25,1948,8,180.0
58,2,1350,42,1271.0,4.0,400.9,2510720.25,1141490.0,1971,24,540.0
33,1,960,131,30418.0,2.0,280.5,2611771.0,1265959.0,1966,11,158.0
55,2,1600,3,35.0,3.0,657.4,2560975.0,1143303.375,1920,2,108.0
105,3,3250,34,1386.0,5.0,488.1,2544564.5,1149398.125,1800,1,91.0
82,2,2300,117,10580.0,2.0,375.1,2542066.0,1150437.875,1700,4,541.0
30,1,690,72,1968.0,1.0,425.8,2567067.0,1122319.375,1926,2,174.0
72,5,2100,219,13902.0,4.0,421.6,2497370.5,1118391.125,1958,12,336.0
33,1,1290,164,12737.0,1.0,438.4,2664870.5,1211758.75,1951,17,216.0
30,1,815,227,5741.0,4.0,275.1,2609023.25,1268135.25,1959,12,231.0
88,4,1750,11,1086.0,2.0,567.9,2657329.25,1235459.125,1970,3,116.0
73,3,1750,126,11216.0,3.0,531.1,2536294.5,1154596.0,1950,6,203.0
90,3,1780,68,7377.0,4.0,468.9,2626610.0,1229824.375,2015,11,397.0
63,2,1336,3,4702.0,3.0,395.6,2668514.0,1254551.75,1971,1,2735.0
49,2,1060,323,14032.0,3.0,251.9,2611310.0,1268525.5,1962,28,374.0
88,3,1850,101,2892.0,3.0,610.4,2724636.25,1240842.375,2018,9,288.0
54,2,1590,20,7897.0,1.0,482.9,2707260.5,1235237.0,2025,6,173.0
150,5,3183,76,1691.0,5.0,537.8,2702105.75,1242524.625,1951,1,47.0
27,1,790,85,15002.0,4.0,619.5,2578476.75,1183874.5,1946,41,371.0
76,3,1500,166,10956.0,4.0,389.2,2671978.25,1251215.125,1957,10,170.0
75,3,1995,73,3357.0,4.0,589.5,2686878.25,1245712.5,1951,6,244.0
87,3,1550,68,3653.0,4.0,549.1,2612481.5,1181869.0,2009,7,239.0
71,3,1010,124,6023.0,5.0,445.8,2688100.0,1282134.125,1953,12,234.0
53,2,1060,98,2357.0,2.0,499.8,2736101.0,1262139.75,1970,9,268.0
76,3,1450,18,6796.0,3.0,413.1,2686502.75,1236637.0,1959,8,192.0
40,1,850,288,12365.0,2.0,273.1,2610197.0,1267747.875,1969,14,173.0
69,3,1220,63,3068.0,2.0,375.4,2627839.0,1256988.75,1947,9,257.0
81,3,1385,156,4563.0,4.0,648.0,2633965.25,1127445.625,2010,17,420.0
82,3,1500,151,4147.0,4.0,384.7,2559241.0,1143054.375,1900,2,105.0
90,3,1750,113,10540.0,3.0,315.5,2716641.75,1095247.625,1956,55,1287.0
60,2,1386,175,24867.0,4.0,253.4,2611692.25,1267665.25,1970,11,258.0
99,5,3300,41,27489.0,2.0,431.5,2682562.75,1244113.625,1992,2,803.0
80,3,1690,159,1006.0,4.0,497.7,2701010.5,1234561.5,1972,8,260.0
56,2,1370,165,13400.0,3.0,288.3,2618353.25,1263284.0,1983,12,141.0
78,2,1723,61,2789.0,2.0,286.2,2615740.0,1269305.875,1965,5,193.0
102,4,2038,50,16819.0,3.0,452.6,2685611.75,1255305.25,1981,23,572.0
43,1,1150,69,3164.0,3.0,292.1,2612331.25,1262484.375,1981,6,256.0
63,3,1665,48,568.0,1.0,559.4,2528638.0,1162068.5,1988,10,251.0
33,1,950,36,9294.0,5.0,441.8,2555738.0,1145780.625,1971,2,129.0
30,1,989,28,16424.0,3.0,671.0,2747578.75,1255191.5,1974,1,448.0
57,2,1500,445,38168.0,3.0,434.5,2665306.0,1211664.0,1952,21,269.0
50,2,1000,95,4484.0,4.0,444.5,2594598.25,1225857.875,1962,29,524.0
28,1,830,45,23276.0,2.0,393.8,2635360.25,1244318.375,1958,3,96.0
86,3,1780,81,2451.0,3.0,515.5,2662593.0,1211150.5,2018,40,1099.0
123,4,1293,44,9816.0,1.0,435.6,2607087.25,1228524.125,1921,7,366.0
48,2,1320,63,2906.0,2.0,572.2,2758596.5,1191773.0,1958,16,376.0
50,2,1180,176,28729.0,3.0,277.9,2610534.0,1266508.875,1962,6,128.0
88,3,1650,81,13502.0,3.0,430.9,2674624.75,1248603.25,1984,4,222.0
85,3,1410,45,2563.0,2.0,795.3,2738970.5,1249757.875,1991,8,256.0
71,3,1940,129,2636.0,4.0,460.0,2686267.75,1257655.875,1965,12,220.0
115,4,2740,187,35924.0,3.0,385.3,2672989.5,1251474.75,2012,10,356.0
87,4,1140,103,3173.0,4.0,442.1,2690986.0,1285777.0,1963,9,192.0
87,4,1300,33,996.0,4.0,552.3,2615189.5,1210809.5,1971,6,203.0
